Ano,Dia,Velocidade do vento (m/s),Ponto de orvalho (°C),Temperatura mín.  (°C),Irradiância solar (W/m²),Umidade relativa (%),Velocidade máx. do vento (m/s),Velocidade mín. do vento (m/s),Pressão atmosférica (kPa),Time lag
2024,55,02.09,21.44,20.55,395.29,84.06,3.9,0.67,94.52,1.15
2024,56,2.43,20.53,18.63,385.24,80.31,3.98,1.13,94.52,0.94
2024,57,02.01,20.1,18.84,381.55,79.31,3.68,0.88,94.36,1.54
2024,58,1.55,20.66,19.8,390.67,81.06,2.37,0.86,94.27,1.48
2024,59,1.66,21.29,20.38,397.66,78.81,3.17,0.59,94.32,1.23
2024,60,1.27,20.69,20.92,407.13,73.31,2.45,0.57,94.37,1.49
2024,61,01.05,20.83,21.52,409.76,72.94,1.66,0.63,94.3,02.09
2024,62,1.12,21.85,21.63,417.48,77.75,1.98,0.55,94.25,2.43
2024,63,1.24,22.23,21.79,413.45,80.06,2.28,0.75,94.21,02.01
2024,64,1.52,22.39,21.64,408.99,90.06,2.8,0.54,94.31,1.55
2024,65,1.55,21.04,19.94,409.25,83.94,2.92,0.7,94.41,1.66
2024,66,1.77,21.51,20.9,409.57,79.5,3.53,0.62,94.4,1.27
2024,67,1.91,21.56,21.31,404.66,77.69,3.83,0.67,94.44,01.05
2024,68,02.05,20.9,20.69,400.59,75.19,3.72,0.88,94.37,1.12
2024,69,1.76,19.83,19.87,380.05,70.12,3.49,0.77,94.32,1.24
2024,70,1.23,19.27,20.2,400.88,65.12,2.86,0.7,94.33,1.52
2024,71,1.48,19.58,22.92,426.19,61.94,03.08,0.38,94.35,1.55
2024,72,1.31,19.14,23.17,427.96,58.06,03.08,0.46,94.41,1.77
2024,73,1.36,20.08,22.41,424.52,63.62,03.02,0.3,94.38,1.91
2024,74,1.72,19.62,22.54,420.6,60.31,3.8,0.73,94.3,02.05
2024,75,1.88,20.13,22.43,431.22,62.75,3.43,0.65,94.17,1.76
2024,76,1.7,20.57,22.81,432.48,68.19,3.26,0.72,94.13,1.23
2024,77,1.52,17.97,21.43,415.32,57.12,2.87,0.77,94.21,1.48
2024,78,1.7,18.12,22.94,407.34,52.75,3.95,0.64,94.17,1.31
2024,79,1.17,17.9,24.99,424.28,49.94,2.41,0.19,94.04,1.36
2024,80,1.5,19.37,23.6,428.73,57.94,3.38,0.59,94.04,1.72
2024,81,0.88,19.98,22.71,432.24,62.38,1.64,0.43,94.15,1.88
2024,82,1.59,20.55,23.48,425.7,62.81,03.08,0.5,94.15,1.7
2024,83,1.71,20.55,23.18,436.41,65.0,3.59,0.53,94.14,1.52
2024,84,1.59,19.98,23.43,412.41,61.12,3.55,0.05,94.13,1.7
2024,85,02.02,16.76,21.91,383.51,52.5,3.9,0.71,94.09,1.17
2024,86,1.35,16.36,23.44,391.78,48.75,2.9,0.4,94.19,1.5
2024,87,1.99,19.21,23.04,421.91,58.62,04.05,0.64,94.21,0.88
2024,88,2.52,19.01,24.34,421.38,55.06,4.3,0.75,94.34,1.59
2024,89,2.42,17.49,23.26,417.98,52.06,4.41,0.47,94.38,1.71
2024,90,1.76,17.28,23.3,408.07,49.25,3.45,0.77,94.27,1.59
2024,91,01.09,14.87,22.44,411.65,43.56,2.12,0.35,94.21,02.02
2024,92,02.04,17.94,23.0,430.81,53.06,3.44,0.68,94.23,1.35
2024,93,1.37,18.94,22.94,428.57,57.56,2.18,0.2,94.24,1.99
2024,94,2.0,21.22,23.35,424.14,73.75,4.16,0.66,94.23,2.52
